Biomass,Coal,Gas,Oil,Geothermal,Hydro,Marine,Unknown,Solar,Nuclear,Waste,Wind
297.0,0.0,4956.0,0.0,0.0,885.0,0.0,850.0,0.0,4991.0,275.0,997.0
298.0,0.0,4951.0,0.0,0.0,796.0,0.0,776.0,0.0,4993.0,273.0,994.0
297.0,0.0,4985.0,0.0,0.0,203.0,0.0,783.0,0.0,4995.0,276.0,903.0
296.0,0.0,4768.0,0.0,0.0,128.0,0.0,808.0,0.0,4995.0,274.0,933.0
296.0,0.0,4468.0,0.0,0.0,128.0,0.0,777.0,0.0,4995.0,268.0,938.0
291.0,0.0,4115.0,0.0,0.0,128.0,0.0,772.0,0.0,4993.0,265.0,945.0
292.0,0.0,3795.0,0.0,0.0,128.0,0.0,775.0,0.0,4992.0,268.0,949.0
290.0,0.0,3825.0,0.0,0.0,129.0,0.0,771.0,0.0,4989.0,260.0,1018.0
293.0,0.0,3912.0,0.0,0.0,129.0,0.0,787.0,0.0,4989.0,263.0,912.0
297.0,0.0,3765.0,0.0,0.0,130.0,0.0,768.0,0.0,4991.0,262.0,856.0
294.0,0.0,3715.0,0.0,0.0,130.0,0.0,750.0,0.0,4992.0,268.0,756.0
293.0,0.0,3733.0,0.0,0.0,129.0,0.0,760.0,0.0,4991.0,269.0,949.0
294.0,0.0,4283.0,0.0,0.0,129.0,0.0,759.0,0.0,4990.0,262.0,1227.0
290.0,0.0,4494.0,0.0,0.0,129.0,0.0,791.0,0.0,4992.0,267.0,1218.0
294.0,0.0,4710.0,0.0,0.0,129.0,0.0,818.0,0.0,4992.0,268.0,993.0
295.0,0.0,4919.0,0.0,0.0,129.0,0.0,847.0,28.0,4993.0,270.0,837.0
291.0,0.0,4855.0,0.0,0.0,126.0,0.0,849.0,123.0,4993.0,268.0,661.0
291.0,0.0,4710.0,0.0,0.0,127.0,0.0,833.0,178.0,4994.0,268.0,559.0
292.0,0.0,4917.0,0.0,0.0,128.0,0.0,842.0,249.0,4995.0,265.0,409.0
291.0,0.0,4969.0,0.0,0.0,128.0,0.0,861.0,280.0,4995.0,261.0,206.0
289.0,0.0,4987.0,0.0,0.0,127.0,0.0,866.0,223.0,4996.0,262.0,111.0
287.0,0.0,4908.0,0.0,0.0,127.0,0.0,856.0,141.0,4997.0,254.0,75.0
290.0,0.0,4763.0,0.0,0.0,48.0,0.0,825.0,28.0,4997.0,257.0,105.0
293.0,0.0,4841.0,0.0,0.0,729.0,0.0,833.0,0.0,4995.0,259.0,252.0
290.0,0.0,4954.0,0.0,0.0,877.0,0.0,815.0,0.0,4995.0,262.0,41.0
287.0,0.0,5050.0,0.0,0.0,885.0,0.0,844.0,0.0,4995.0,261.0,15.0
289.0,0.0,5016.0,0.0,0.0,795.0,0.0,829.0,0.0,4997.0,266.0,74.0
295.0,0.0,4949.0,0.0,0.0,438.0,0.0,791.0,0.0,4999.0,266.0,230.0
290.0,0.0,4573.0,0.0,0.0,317.0,0.0,731.0,0.0,5000.0,265.0,344.0
297.0,0.0,4401.0,0.0,0.0,44.0,0.0,774.0,0.0,5002.0,265.0,491.0
293.0,0.0,3981.0,0.0,0.0,44.0,0.0,765.0,0.0,5000.0,269.0,682.0
294.0,0.0,3781.0,0.0,0.0,44.0,0.0,753.0,0.0,4999.0,267.0,823.0
292.0,0.0,3429.0,0.0,0.0,44.0,0.0,734.0,0.0,4998.0,265.0,961.0
294.0,0.0,3098.0,0.0,0.0,44.0,0.0,710.0,0.0,4997.0,263.0,1127.0
296.0,0.0,3278.0,0.0,0.0,44.0,0.0,712.0,0.0,4996.0,267.0,992.0
297.0,0.0,3341.0,0.0,0.0,44.0,0.0,729.0,0.0,4996.0,267.0,1308.0
297.0,0.0,3589.0,0.0,0.0,44.0,0.0,734.0,0.0,4996.0,266.0,1479.0
297.0,0.0,4611.0,0.0,0.0,44.0,0.0,795.0,0.0,4996.0,266.0,1293.0
296.0,0.0,4989.0,0.0,0.0,44.0,0.0,847.0,1.0,4996.0,266.0,1251.0
296.0,0.0,4911.0,103.0,0.0,146.0,0.0,846.0,73.0,4996.0,266.0,1118.0
288.0,0.0,4955.0,154.0,0.0,179.0,0.0,853.0,261.0,4994.0,260.0,744.0
282.0,0.0,4475.0,16.0,0.0,81.0,0.0,833.0,448.0,4993.0,250.0,1027.0
281.0,0.0,4538.0,0.0,0.0,81.0,0.0,791.0,540.0,4993.0,247.0,1168.0
279.0,0.0,4654.0,0.0,0.0,81.0,0.0,792.0,503.0,4993.0,244.0,1235.0
286.0,0.0,5176.0,0.0,0.0,80.0,0.0,831.0,333.0,4992.0,239.0,1045.0
282.0,0.0,5196.0,0.0,0.0,88.0,0.0,858.0,153.0,4991.0,233.0,1052.0
279.0,0.0,5261.0,0.0,0.0,158.0,0.0,887.0,26.0,4990.0,228.0,994.0
273.0,0.0,5103.0,0.0,0.0,626.0,0.0,875.0,0.0,4990.0,223.0,1735.0
276.0,0.0,5164.0,0.0,0.0,857.0,0.0,801.0,0.0,4990.0,224.0,1656.0
286.0,0.0,4879.0,0.0,0.0,297.0,0.0,821.0,0.0,4990.0,231.0,1185.0
286.0,0.0,4878.0,0.0,0.0,150.0,0.0,816.0,0.0,4991.0,236.0,1011.0
285.0,0.0,4457.0,0.0,0.0,150.0,0.0,800.0,0.0,4992.0,236.0,954.0
287.0,0.0,3946.0,0.0,0.0,149.0,0.0,825.0,0.0,4992.0,239.0,955.0
286.0,0.0,3839.0,0.0,0.0,149.0,0.0,844.0,0.0,4991.0,240.0,1001.0
288.0,0.0,3345.0,0.0,0.0,149.0,0.0,797.0,0.0,4992.0,240.0,1070.0
291.0,0.0,3340.0,0.0,0.0,149.0,0.0,757.0,0.0,4992.0,238.0,1050.0
292.0,0.0,3066.0,0.0,0.0,149.0,0.0,761.0,0.0,4991.0,240.0,1032.0
293.0,0.0,3209.0,0.0,0.0,149.0,0.0,745.0,0.0,4992.0,239.0,937.0
288.0,0.0,3610.0,0.0,0.0,150.0,0.0,785.0,0.0,4991.0,237.0,816.0
287.0,0.0,4115.0,0.0,0.0,150.0,0.0,815.0,0.0,4991.0,241.0,767.0
290.0,0.0,4706.0,0.0,0.0,128.0,0.0,851.0,0.0,4988.0,236.0,749.0
294.0,0.0,4921.0,0.0,0.0,151.0,0.0,873.0,0.0,4988.0,237.0,761.0
292.0,0.0,5168.0,0.0,0.0,49.0,0.0,873.0,1.0,4991.0,237.0,667.0
289.0,0.0,5109.0,0.0,0.0,48.0,0.0,875.0,60.0,4994.0,238.0,611.0
291.0,0.0,4986.0,0.0,0.0,42.0,0.0,858.0,228.0,4988.0,239.0,556.0
292.0,0.0,4978.0,0.0,0.0,45.0,0.0,816.0,427.0,4983.0,244.0,509.0
294.0,0.0,5103.0,0.0,0.0,45.0,0.0,841.0,519.0,4987.0,251.0,257.0
290.0,0.0,5105.0,0.0,0.0,45.0,0.0,850.0,457.0,4990.0,243.0,121.0
290.0,0.0,4934.0,0.0,0.0,334.0,0.0,854.0,262.0,4979.0,232.0,105.0
293.0,0.0,4642.0,0.0,0.0,498.0,0.0,879.0,116.0,4990.0,240.0,88.0
290.0,0.0,4799.0,0.0,0.0,765.0,0.0,883.0,20.0,4989.0,244.0,84.0
290.0,0.0,5033.0,0.0,0.0,499.0,0.0,881.0,0.0,4988.0,238.0,65.0
290.0,0.0,5147.0,0.0,0.0,852.0,0.0,817.0,0.0,4991.0,242.0,74.0
289.0,0.0,5151.0,0.0,0.0,706.0,0.0,823.0,0.0,4991.0,241.0,108.0
290.0,0.0,4884.0,0.0,0.0,542.0,0.0,770.0,0.0,4993.0,251.0,94.0
290.0,0.0,4691.0,0.0,0.0,248.0,0.0,747.0,0.0,4996.0,257.0,60.0
290.0,0.0,4368.0,0.0,0.0,92.0,0.0,782.0,0.0,4996.0,262.0,22.0
294.0,0.0,4391.0,0.0,0.0,363.0,0.0,813.0,0.0,4997.0,257.0,20.0
293.0,0.0,4183.0,0.0,0.0,363.0,0.0,820.0,0.0,4996.0,263.0,18.0
293.0,0.0,3946.0,0.0,0.0,363.0,0.0,818.0,0.0,4994.0,261.0,21.0
291.0,0.0,3902.0,0.0,0.0,362.0,0.0,826.0,0.0,4995.0,259.0,34.0
287.0,0.0,3662.0,0.0,0.0,362.0,0.0,840.0,0.0,4993.0,260.0,21.0
292.0,0.0,3563.0,0.0,0.0,362.0,0.0,844.0,0.0,4993.0,261.0,19.0
293.0,0.0,3611.0,0.0,0.0,362.0,0.0,838.0,0.0,4994.0,263.0,17.0
296.0,0.0,3907.0,0.0,0.0,362.0,0.0,838.0,0.0,4996.0,256.0,23.0
294.0,0.0,3933.0,0.0,0.0,362.0,0.0,846.0,0.0,4995.0,258.0,39.0
292.0,0.0,4088.0,0.0,0.0,361.0,0.0,830.0,2.0,4992.0,254.0,64.0
298.0,0.0,4086.0,0.0,0.0,360.0,0.0,833.0,112.0,4992.0,257.0,72.0
298.0,0.0,4013.0,0.0,0.0,115.0,0.0,839.0,415.0,4992.0,265.0,65.0
294.0,0.0,4021.0,0.0,0.0,115.0,0.0,819.0,776.0,4994.0,265.0,91.0
290.0,0.0,3823.0,0.0,0.0,116.0,0.0,805.0,1027.0,4991.0,267.0,85.0
294.0,0.0,3904.0,0.0,0.0,116.0,0.0,812.0,960.0,4992.0,270.0,49.0
294.0,0.0,4011.0,0.0,0.0,116.0,0.0,815.0,652.0,4995.0,267.0,42.0
294.0,0.0,4141.0,0.0,0.0,95.0,0.0,821.0,312.0,4997.0,272.0,95.0
293.0,0.0,4223.0,0.0,0.0,99.0,0.0,865.0,64.0,4994.0,266.0,121.0
296.0,0.0,4176.0,0.0,0.0,177.0,0.0,874.0,0.0,4991.0,262.0,158.0
301.0,0.0,4194.0,0.0,0.0,392.0,0.0,855.0,0.0,4991.0,269.0,143.0
292.0,0.0,4203.0,0.0,0.0,441.0,0.0,845.0,0.0,4989.0,268.0,98.0
293.0,0.0,4265.0,0.0,0.0,151.0,0.0,854.0,0.0,4992.0,264.0,68.0
295.0,0.0,4180.0,0.0,0.0,116.0,0.0,841.0,0.0,4994.0,266.0,53.0
294.0,0.0,4054.0,0.0,0.0,84.0,0.0,838.0,0.0,4994.0,269.0,32.0
295.0,0.0,3925.0,0.0,0.0,79.0,0.0,844.0,0.0,4994.0,268.0,63.0
287.0,0.0,3230.0,0.0,0.0,79.0,0.0,832.0,0.0,4994.0,267.0,123.0
214.0,0.0,2732.0,0.0,0.0,80.0,0.0,824.0,0.0,4993.0,265.0,155.0
189.0,0.0,2753.0,0.0,0.0,79.0,0.0,801.0,0.0,4992.0,265.0,198.0
179.0,0.0,2694.0,0.0,0.0,79.0,0.0,805.0,0.0,4993.0,267.0,211.0
250.0,0.0,2657.0,0.0,0.0,79.0,0.0,799.0,0.0,4994.0,265.0,282.0
295.0,0.0,2740.0,0.0,0.0,79.0,0.0,813.0,0.0,4992.0,268.0,312.0
292.0,0.0,2756.0,0.0,0.0,79.0,0.0,831.0,0.0,4994.0,267.0,330.0
291.0,0.0,2732.0,0.0,0.0,79.0,0.0,839.0,0.0,4994.0,268.0,299.0
291.0,0.0,2848.0,0.0,0.0,79.0,0.0,843.0,3.0,4991.0,267.0,294.0
293.0,0.0,3452.0,0.0,0.0,79.0,0.0,852.0,132.0,4984.0,265.0,296.0
295.0,0.0,3582.0,0.0,0.0,79.0,0.0,858.0,503.0,4985.0,269.0,272.0
294.0,0.0,3572.0,0.0,0.0,79.0,0.0,815.0,926.0,4983.0,263.0,256.0
290.0,0.0,3638.0,0.0,0.0,78.0,0.0,818.0,1218.0,4983.0,266.0,254.0
285.0,0.0,3335.0,0.0,0.0,77.0,0.0,794.0,1163.0,4983.0,261.0,301.0
287.0,0.0,3609.0,0.0,0.0,76.0,0.0,783.0,728.0,4988.0,264.0,293.0
290.0,0.0,3720.0,0.0,0.0,117.0,0.0,816.0,366.0,4995.0,267.0,304.0
294.0,0.0,3803.0,0.0,0.0,174.0,0.0,860.0,73.0,4991.0,265.0,246.0
294.0,0.0,4071.0,0.0,0.0,367.0,0.0,873.0,0.0,4990.0,258.0,218.0
291.0,0.0,4340.0,0.0,0.0,161.0,0.0,861.0,0.0,4990.0,264.0,250.0
293.0,0.0,4320.0,0.0,0.0,278.0,0.0,846.0,0.0,4991.0,262.0,233.0
294.0,0.0,4301.0,0.0,0.0,161.0,0.0,828.0,0.0,4991.0,266.0,241.0
293.0,0.0,4171.0,0.0,0.0,161.0,0.0,789.0,0.0,4991.0,265.0,395.0
292.0,0.0,4179.0,0.0,0.0,161.0,0.0,747.0,0.0,4990.0,268.0,466.0
289.0,0.0,4116.0,0.0,0.0,161.0,0.0,766.0,0.0,4990.0,265.0,613.0
291.0,0.0,3144.0,0.0,0.0,162.0,0.0,743.0,0.0,4989.0,266.0,941.0
290.0,0.0,2674.0,0.0,0.0,162.0,0.0,733.0,0.0,4989.0,266.0,1182.0
291.0,0.0,2658.0,0.0,0.0,162.0,0.0,740.0,0.0,4990.0,266.0,1385.0
293.0,0.0,2355.0,0.0,0.0,162.0,0.0,725.0,0.0,4991.0,264.0,1537.0
291.0,0.0,2411.0,0.0,0.0,162.0,0.0,729.0,0.0,4991.0,267.0,1718.0
287.0,0.0,2709.0,0.0,0.0,163.0,0.0,750.0,0.0,4991.0,261.0,1850.0
