"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|DK1","31.08.2018 14:00 - 31.08.2018 15:00 (CET/CEST)","399","n/e","n/e","234","52","11","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","270","77","305","539"
"BZN|DK1","31.08.2018 15:00 - 31.08.2018 16:00 (CET/CEST)","392","n/e","n/e","213","24","5","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","241","77","314","485"
"BZN|DK1","31.08.2018 16:00 - 31.08.2018 17:00 (CET/CEST)","379","n/e","n/e","224","42","9","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","199","81","302","456"
"BZN|DK1","31.08.2018 17:00 - 31.08.2018 18:00 (CET/CEST)","380","n/e","n/e","261","62","12","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3","132","80","285","388"
"BZN|DK1","31.08.2018 18:00 - 31.08.2018 19:00 (CET/CEST)","394","n/e","n/e","267","57","11","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3","67","80","265","339"
"BZN|DK1","31.08.2018 19:00 - 31.08.2018 20:00 (CET/CEST)","400","n/e","n/e","253","42","9","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","18","79","247","285"
"BZN|DK1","31.08.2018 20:00 - 31.08.2018 21:00 (CET/CEST)","401","n/e","n/e","222","31","6","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","1","77","238","262"
"BZN|DK1","31.08.2018 21:00 - 31.08.2018 22:00 (CET/CEST)","396","n/e","n/e","192","20","4","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","2","0","78","195","199"
"BZN|DK1","31.08.2018 22:00 - 31.08.2018 23:00 (CET/CEST)","377","n/e","n/e","159","46","9","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","3","0","79","130","143"
"BZN|DK1","31.08.2018 23:00 - 01.09.2018 00:00 (CET/CEST)","380","n/e","n/e","118","64","13","n/e","n/e","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","4","0","80","81","87"
