"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|EE","05.08.2020 14:00 - 05.08.2020 15:00 (CET/CEST)","60","n/e","57","2","n/e","n/e","402","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","73","17","n/e","61"
"BZN|EE","05.08.2020 15:00 - 05.08.2020 16:00 (CET/CEST)","62","n/e","58","2","n/e","n/e","401","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","53","17","n/e","48"
"BZN|EE","05.08.2020 16:00 - 05.08.2020 17:00 (CET/CEST)","61","n/e","60","2","n/e","n/e","398","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","30","17","n/e","35"
"BZN|EE","05.08.2020 17:00 - 05.08.2020 18:00 (CET/CEST)","61","n/e","59","2","n/e","n/e","399","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","18","17","n/e","31"
"BZN|EE","05.08.2020 18:00 - 05.08.2020 19:00 (CET/CEST)","60","n/e","60","2","n/e","n/e","316","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","9","17","n/e","35"
"BZN|EE","05.08.2020 19:00 - 05.08.2020 20:00 (CET/CEST)","60","n/e","60","2","n/e","n/e","231","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","3","17","n/e","30"
"BZN|EE","05.08.2020 20:00 - 05.08.2020 21:00 (CET/CEST)","62","n/e","59","2","n/e","n/e","226","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","35"
"BZN|EE","05.08.2020 21:00 - 05.08.2020 22:00 (CET/CEST)","63","n/e","60","2","n/e","n/e","230","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","37"
"BZN|EE","05.08.2020 22:00 - 05.08.2020 23:00 (CET/CEST)","62","n/e","58","2","n/e","n/e","229","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","35"
"BZN|EE","05.08.2020 23:00 - 06.08.2020 00:00 (CET/CEST)","62","n/e","59","2","n/e","n/e","228","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","47"
"BZN|EE","06.08.2020 00:00 - 06.08.2020 01:00 (CET/CEST)","62","n/e","60","2","n/e","n/e","226","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","55"
"BZN|EE","06.08.2020 01:00 - 06.08.2020 02:00 (CET/CEST)","58","n/e","59","2","n/e","n/e","225","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","56"
"BZN|EE","06.08.2020 02:00 - 06.08.2020 03:00 (CET/CEST)","58","n/e","60","2","n/e","n/e","223","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","17","n/e","59"
"BZN|EE","06.08.2020 03:00 - 06.08.2020 04:00 (CET/CEST)","57","n/e","59","2","n/e","n/e","222","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","0","16","n/e","53"
"BZN|EE","06.08.2020 04:00 - 06.08.2020 05:00 (CET/CEST)","59","n/e","58","2","n/e","n/e","225","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","1","16","n/e","50"
"BZN|EE","06.08.2020 05:00 - 06.08.2020 06:00 (CET/CEST)","58","n/e","56","2","n/e","n/e","265","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","4","16","n/e","52"
"BZN|EE","06.08.2020 06:00 - 06.08.2020 07:00 (CET/CEST)","60","n/e","59","2","n/e","n/e","362","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","9","16","n/e","51"
"BZN|EE","06.08.2020 07:00 - 06.08.2020 08:00 (CET/CEST)","59","n/e","61","2","n/e","n/e","361","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","16","17","n/e","46"
"BZN|EE","06.08.2020 08:00 - 06.08.2020 09:00 (CET/CEST)","62","n/e","59","2","n/e","n/e","367","3","n/e","n/e","n/e","1","n/e","n/e","n/e","0","5","25","17","n/e","50"
"BZN|EE","06.08.2020 09:00 - 06.08.2020 10:00 (CET/CEST)","65","n/e","59","2","n/e","n/e","358","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","33","17","n/e","60"
"BZN|EE","06.08.2020 10:00 - 06.08.2020 11:00 (CET/CEST)","66","n/e","60","2","n/e","n/e","367","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","35","17","n/e","65"
"BZN|EE","06.08.2020 11:00 - 06.08.2020 12:00 (CET/CEST)","63","n/e","60","2","n/e","n/e","367","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","35","17","n/e","62"
"BZN|EE","06.08.2020 12:00 - 06.08.2020 13:00 (CET/CEST)","63","n/e","58","2","n/e","n/e","369","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","35","17","n/e","57"
"BZN|EE","06.08.2020 13:00 - 06.08.2020 14:00 (CET/CEST)","61","n/e","57","2","n/e","n/e","361","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","37","17","n/e","58"
"BZN|EE","06.08.2020 14:00 - 06.08.2020 15:00 (CET/CEST)","61","n/e","57","2","n/e","n/e","361","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","42","17","n/e","60"
"BZN|EE","06.08.2020 15:00 - 06.08.2020 16:00 (CET/CEST)","62","n/e","56","2","n/e","n/e","357","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","35","17","n/e","46"
"BZN|EE","06.08.2020 16:00 - 06.08.2020 17:00 (CET/CEST)","62","n/e","58","2","n/e","n/e","357","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","26","17","n/e","34"
"BZN|EE","06.08.2020 17:00 - 06.08.2020 18:00 (CET/CEST)","62","n/e","60","2","n/e","n/e","355","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","16","17","n/e","22"
"BZN|EE","06.08.2020 18:00 - 06.08.2020 19:00 (CET/CEST)","61","n/e","60","2","n/e","n/e","310","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","6","17","n/e","13"
"BZN|EE","06.08.2020 19:00 - 06.08.2020 20:00 (CET/CEST)","61","n/e","59","2","n/e","n/e","227","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","2","17","n/e","12"
"BZN|EE","06.08.2020 20:00 - 06.08.2020 21:00 (CET/CEST)","63","n/e","60","2","n/e","n/e","232","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","9"
"BZN|EE","06.08.2020 21:00 - 06.08.2020 22:00 (CET/CEST)","63","n/e","60","2","n/e","n/e","252","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","15"
"BZN|EE","06.08.2020 22:00 - 06.08.2020 23:00 (CET/CEST)","63","n/e","60","2","n/e","n/e","261","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","17"
"BZN|EE","06.08.2020 23:00 - 07.08.2020 00:00 (CET/CEST)","63","n/e","60","2","n/e","n/e","290","4","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","11"
"BZN|EE","07.08.2020 00:00 - 07.08.2020 01:00 (CET/CEST)","62","n/e","60","2","n/e","n/e","214","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","9"
"BZN|EE","07.08.2020 01:00 - 07.08.2020 02:00 (CET/CEST)","58","n/e","60","2","n/e","n/e","199","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","7"
"BZN|EE","07.08.2020 02:00 - 07.08.2020 03:00 (CET/CEST)","58","n/e","60","2","n/e","n/e","189","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","16","n/e","8"
"BZN|EE","07.08.2020 03:00 - 07.08.2020 04:00 (CET/CEST)","57","n/e","59","2","n/e","n/e","171","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","16","n/e","6"
"BZN|EE","07.08.2020 04:00 - 07.08.2020 05:00 (CET/CEST)","61","n/e","59","2","n/e","n/e","186","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","0","17","n/e","4"
"BZN|EE","07.08.2020 05:00 - 07.08.2020 06:00 (CET/CEST)","59","n/e","58","2","n/e","n/e","287","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","3","17","n/e","6"
"BZN|EE","07.08.2020 06:00 - 07.08.2020 07:00 (CET/CEST)","59","n/e","59","2","n/e","n/e","312","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","9","17","n/e","7"
"BZN|EE","07.08.2020 07:00 - 07.08.2020 08:00 (CET/CEST)","60","n/e","57","2","n/e","n/e","331","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","20","17","n/e","10"
"BZN|EE","07.08.2020 08:00 - 07.08.2020 09:00 (CET/CEST)","62","n/e","58","2","n/e","n/e","337","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","35","16","n/e","16"
"BZN|EE","07.08.2020 09:00 - 07.08.2020 10:00 (CET/CEST)","62","n/e","59","2","n/e","n/e","359","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","55","16","n/e","22"
"BZN|EE","07.08.2020 10:00 - 07.08.2020 11:00 (CET/CEST)","61","n/e","61","2","n/e","n/e","407","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","68","16","n/e","27"
"BZN|EE","07.08.2020 11:00 - 07.08.2020 12:00 (CET/CEST)","61","n/e","61","2","n/e","n/e","419","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","76","17","n/e","28"
"BZN|EE","07.08.2020 12:00 - 07.08.2020 13:00 (CET/CEST)","60","n/e","60","2","n/e","n/e","414","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","78","17","n/e","29"
"BZN|EE","07.08.2020 13:00 - 07.08.2020 14:00 (CET/CEST)","59","n/e","59","2","n/e","n/e","437","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","78","17","n/e","32"
"BZN|EE","07.08.2020 14:00 - 07.08.2020 15:00 (CET/CEST)","60","n/e","59","2","n/e","n/e","424","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","70","17","n/e","28"
"BZN|EE","07.08.2020 15:00 - 07.08.2020 16:00 (CET/CEST)","60","n/e","60","2","n/e","n/e","439","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","60","17","n/e","26"
"BZN|EE","07.08.2020 16:00 - 07.08.2020 17:00 (CET/CEST)","61","n/e","60","2","n/e","n/e","421","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","44","17","n/e","19"
"BZN|EE","07.08.2020 17:00 - 07.08.2020 18:00 (CET/CEST)","60","n/e","60","2","n/e","n/e","445","3","n/e","n/e","n/e","2","n/e","n/e","n/e","0","5","26","17","n/e","12"
