MTU,BE,BG,CH,CZ,DK,EE,ES,FI,FR,HU,IE,IT,LT,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
2023-12-13 16:00:00,77.53043215692092,257.8148844401061,19.4119213506696,293.95594611745787,293.6168266817777,153.89243610583924,236.04303230294389,158.58317082530252,51.814916502973865,134.13902954704545,5.13,73.99172325313369,138.78778815355358,83.29879466087753,181.73089438517232,253.01772758796093,265.7087963548349,15.1765808734088,504.76570983609287,333.633300992292,239.7172215602113,305.08675088433614,7.036512718923863,137.34049721329697,76.86844538807077
2023-12-13 17:00:00,69.51376115721716,253.362888688684,18.87544491606881,296.3041813072095,303.5559171090027,153.2361806058907,129.60641016723338,159.42189025037172,41.326775821385226,133.43192693887363,,73.80563844496885,146.59929322946755,77.56368406670711,182.90486764599697,248.8584907182233,273.792994709957,15.0598196893756,510.964961906445,160.34260265303232,237.1111395490705,294.10758260128904,7.104413253515914,139.73924070494076,74.23365325062527
2023-12-13 18:00:00,66.99361396342505,248.23078350964508,18.84348031584347,296.0738203493479,302.65271521840555,155.9965610630862,85.80068466776292,160.0362749861328,35.638704943433034,134.10076276857563,5.13,76.20061869324316,147.89932663906896,79.35447763900672,181.35514899902068,261.9983940698056,282.51502278879525,14.967817873095584,512.4609272991684,103.87278419701435,238.61705972626328,294.90972244334705,7.093066050909499,148.583133780458,74.95200650488563
2023-12-13 19:00:00,75.9865953560799,256.4115474201505,21.555316681483635,303.58360391570926,306.89043232037466,154.26897716113447,82.08647116205692,163.29603048462397,35.172442314562474,134.80023354864184,5.13,76.0100386042257,150.3621324702576,81.37641048095475,185.0271091330181,271.0150315342023,290.86291110249346,15.026422088851344,512.5563754722925,94.6264448652127,230.61442814111243,294.8040990445595,7.201182580812619,148.69080593462743,79.79921511471649
2023-12-13 20:00:00,76.06635630748943,263.0762578752841,23.384186675930337,322.3796721741569,308.35797357826465,161.8612069765725,82.27305193759418,166.2022413909424,34.647611824003576,140.25741327609828,5.13,80.95066783996538,152.59457542347144,92.47398820514243,183.89710216610217,276.1764973518254,293.12005018080026,15.146950018388354,510.55326697767,94.90242196585996,232.26085645213928,302.05831211918144,7.186761219631458,150.28689460329815,81.34357518467785
2023-12-13 21:00:00,82.04601549647396,265.6845759050627,24.604662335235275,330.4079862413419,307.98158213574754,168.9235240651159,83.31121962870755,167.77372517173072,36.32242090685087,142.9976367219855,5.13,88.19625354375577,248.8825537318347,91.07269491542148,206.99703943825048,353.66085802833686,336.8135521763927,15.23160468778999,520.0347170372469,103.58797625846712,222.1790886450781,300.00393045531126,7.21049922214632,149.41116157298228,81.86012949719958
2023-12-13 22:00:00,124.16127505979024,263.49934245813915,24.91231408525761,331.38626751492467,323.40194475572525,171.73900749781603,86.10502645385122,165.98766051251616,37.22091546680682,143.92179283165464,5.13,96.06934065332,317.027997665294,95.1413845132993,230.36927227802244,375.1395225495728,352.1114715213094,15.345624928888643,521.5621438970919,129.18929393857618,213.17430181620415,299.58617541239386,7.163495889937482,150.4738172176859,80.0901635407727
2023-12-13 23:00:00,180.05967695311926,264.8954031090165,25.38291244352823,334.15290387785467,329.3701644403508,177.84015766424295,90.8962949614054,167.85100436266038,38.9975250135962,155.56143092332897,5.13,98.97182715237663,651.4071128059411,94.05751965397786,243.3602940171946,375.35828978561767,353.3010772908148,15.37876077729906,520.2455658458182,204.00636077879145,215.95711783943847,296.6782398347151,7.2891271260130175,134.36919593676612,86.28607894966322
2023-12-14 00:00:00,202.7802080168231,260.3442483066456,26.08085189674995,332.0921220111345,322.52996190561544,182.61868153671395,104.24480699580307,164.47028125869966,45.52475822050548,157.05351519120484,5.13,92.9508590857142,920.0413698839952,90.19102112188703,233.0276503097819,434.15869795960674,341.8313042405522,15.406647670347487,514.9242451720878,254.29071299151516,206.90578715307615,294.52448565956155,7.579730212129394,111.42708451675028,95.81192109629148
2023-12-14 01:00:00,203.0976274962563,259.83951825744947,26.230730786710456,356.0542733948472,333.47344983180864,195.07872356591477,123.82056920501464,161.0206492605196,50.37797539274066,148.0494497255594,5.13,94.40086332888065,921.2019724713244,92.07840964588831,235.60034958666708,419.5522558358801,330.8967855849036,15.348863201120905,516.52589592055,333.4219346803406,196.26213860120376,284.9421554662465,7.619273455874562,102.29726962510958,174.01694544995138
